   Nr |                      x |               math.tan |              cont_frac |            poly_approx |   err_frac |   err_poly |       t_libr |       t_frac |       t_poly
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0 |      1.484740848718884 |     11.591711389285949 |     11.591711389286896 |     11.591711389288248 |   9.47e-13 |   2.30e-12 | 0.0000000000 | 0.0000000000 | 0.0000000000
    1 |     -1.036769843194179 |     -1.691078504360817 |     -1.691078504359817 |     -1.691107375223520 |   1.00e-12 |   2.89e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
    2 |      1.059845500392113 |      1.783778556832077 |      1.783778556833076 |      1.783798101046908 |   9.99e-13 |   1.95e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
    3 |     -1.349361922591251 |     -4.441956192316868 |     -4.441956192315867 |     -4.441956203515225 |   1.00e-12 |   1.12e-08 | 0.0000000000 | 0.0000000000 | 0.0000000000
    4 |     -1.127786539375887 |     -2.107647616008094 |     -2.107647616007093 |     -2.107653133365241 |   1.00e-12 |   5.52e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
    5 |     -1.128850574372559 |     -2.113451301960973 |     -2.113451301959971 |     -2.113456702680308 |   1.00e-12 |   5.40e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
    6 |      0.749086817628996 |      0.929892201563729 |      0.929892201564729 |      0.929414120930272 |   1.00e-12 |   4.78e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
    7 |      0.469510697724252 |      0.507350493428454 |      0.507350493429454 |      0.507348114743671 |   1.00e-12 |   2.38e-06 | 0.0000000000 | 0.0000000000 | 0.0000000000
    8 |     -0.171994262521029 |     -0.173710553533387 |     -0.173710553532387 |     -0.173710553498434 |   1.00e-12 |   3.50e-11 | 0.0000000000 | 0.0000000000 | 0.0000000000
    9 |      0.886197431493782 |      1.225045684969710 |      1.225045684970710 |      1.225299941192991 |   1.00e-12 |   2.54e-04 | 0.0000000000 | 0.0000000000 | 0.0000000000
   10 |     -0.576886225289499 |     -0.650727145770334 |     -0.650727145769334 |     -0.650703018587700 |   1.00e-12 |   2.41e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
   11 |      0.627507949641343 |      0.725304798977152 |      0.725304798978152 |      0.725242150403016 |   1.00e-12 |   6.26e-05 | 0.0000000000 | 0.0000000000 | 0.0000000000
